industry,company_size,budget,age_group,gender,interest,platform_name
Education,Medium,Low,25-40,Male,Fashion,Facebook
Tech,Medium,Medium,25-35,Male,Fashion,Facebook
Fitness,Large,High,18-25,Male,Technology,Instagram
Fashion,Large,Medium,18-30,Female,Fitness,Facebook
Education,Small,Medium,25-35,Female,Education,Google Ads
Fitness,Medium,Medium,25-40,Female,Fitness,Instagram
Tech,Medium,Medium,18-25,Male,Fashion,YouTube
Fitness,Small,Low,18-25,Female,Technology,Google Ads
Fashion,Large,High,25-40,Female,Technology,Facebook
Fashion,Medium,Medium,25-35,Male,Education,Google Ads
Education,Large,High,18-30,Female,Technology,Instagram
Fashion,Medium,High,25-35,Male,Fashion,Facebook
Education,Small,High,18-30,Male,Education,Facebook
Education,Large,Medium,18-30,Female,Education,YouTube
Fitness,Large,Low,18-25,Male,Fitness,Instagram
Tech,Medium,Low,25-40,Male,Fashion,Google Ads
Fitness,Large,Low,25-35,Female,Fashion,Facebook
Education,Small,High,25-40,Female,Fashion,Instagram
Education,Large,Low,18-25,Male,Fitness,YouTube
Tech,Small,Medium,25-40,Male,Education,Google Ads
Tech,Medium,Medium,25-35,Female,Fashion,YouTube
Fitness,Large,Low,25-35,Female,Education,Facebook
Fitness,Small,Low,25-40,Male,Fitness,Google Ads
Tech,Medium,Low,25-35,Male,Technology,Instagram
Fashion,Large,Low,25-35,Male,Fitness,Facebook
Fitness,Large,Low,25-40,Female,Education,Instagram
Fitness,Small,Medium,25-35,Female,Education,Instagram
Tech,Large,Medium,18-25,Female,Fashion,Google Ads
Fitness,Large,Low,25-35,Female,Fashion,Instagram
Education,Medium,Low,18-30,Female,Technology,Google Ads
Fashion,Medium,Low,18-30,Female,Fashion,YouTube
Tech,Small,Low,18-25,Female,Fitness,Facebook
Education,Large,Low,25-40,Female,Technology,Facebook
Education,Medium,Low,25-35,Female,Technology,Facebook
Fashion,Large,Medium,25-40,Female,Education,YouTube
Education,Medium,High,18-25,Male,Technology,Google Ads
Fitness,Large,Low,18-30,Male,Fashion,Instagram
Tech,Small,High,25-40,Male,Fashion,YouTube
Education,Large,High,18-30,Female,Technology,Instagram
Education,Large,Low,18-30,Female,Fashion,Google Ads
Tech,Small,Low,25-40,Female,Fashion,Facebook
Fashion,Large,Medium,25-35,Male,Fashion,Facebook
Education,Large,Low,18-30,Female,Fitness,Instagram
Fitness,Medium,Medium,18-30,Male,Fitness,Instagram
Fitness,Medium,High,25-35,Male,Technology,Instagram
Fitness,Small,Low,18-30,Male,Fitness,Google Ads
Tech,Large,High,25-40,Male,Education,YouTube
Education,Small,High,18-25,Female,Fitness,Google Ads
Tech,Medium,High,18-25,Male,Technology,Instagram
Fitness,Medium,Low,18-30,Male,Fitness,Google Ads
Fitness,Small,Medium,18-30,Male,Fashion,Google Ads
Tech,Medium,Low,25-40,Male,Fashion,YouTube
Tech,Medium,High,18-30,Female,Fashion,Google Ads
Education,Medium,Low,25-35,Female,Fashion,Google Ads
Tech,Small,Medium,18-30,Female,Education,Facebook
Fitness,Large,High,25-40,Male,Education,Google Ads
Education,Large,Medium,18-25,Male,Fashion,Google Ads
Fashion,Medium,High,25-40,Female,Technology,YouTube
Tech,Small,Medium,18-25,Male,Fitness,Facebook
Fashion,Large,Low,25-40,Male,Education,Facebook
Tech,Large,Low,18-30,Female,Fitness,YouTube
Tech,Large,High,18-30,Female,Fitness,Facebook
Fitness,Small,Medium,25-35,Female,Education,Facebook
Fitness,Medium,Medium,25-40,Female,Education,Facebook
Fashion,Medium,Medium,25-40,Male,Fitness,Google Ads
Education,Small,Medium,25-40,Male,Fitness,YouTube
Education,Medium,Medium,25-40,Male,Technology,Facebook
Fashion,Small,High,18-30,Female,Fitness,Instagram
Fitness,Small,Low,18-25,Female,Technology,Instagram
Tech,Large,Medium,25-35,Female,Fashion,YouTube
Fashion,Medium,Medium,25-40,Female,Education,YouTube
Tech,Large,High,18-25,Female,Fashion,Instagram
Tech,Medium,High,18-30,Female,Education,Facebook
Fashion,Medium,Low,18-25,Female,Education,Instagram
Fashion,Small,Medium,25-40,Female,Education,Instagram
Tech,Small,Low,25-35,Female,Fitness,Instagram
Tech,Large,Low,25-40,Female,Fitness,Instagram
Fitness,Medium,High,18-30,Female,Education,YouTube
Education,Medium,Low,25-35,Male,Education,Instagram
Tech,Medium,High,18-25,Male,Education,Google Ads
Fashion,Medium,Low,18-30,Male,Technology,Instagram
Fashion,Large,High,25-35,Male,Technology,Facebook
Fitness,Large,Medium,25-40,Female,Education,YouTube
Education,Small,High,18-25,Female,Fashion,Facebook
Fitness,Small,Medium,25-40,Female,Fashion,Instagram
Fashion,Large,Low,25-35,Female,Education,Facebook
Fashion,Medium,Low,25-35,Female,Fitness,YouTube
Fashion,Small,Medium,25-35,Male,Education,Google Ads
Education,Medium,High,18-30,Female,Fitness,Facebook
Education,Large,Medium,18-30,Female,Fashion,Instagram
Education,Medium,High,25-35,Female,Education,Facebook
Fitness,Small,Medium,25-40,Male,Technology,YouTube
Fitness,Small,High,18-30,Female,Fitness,Google Ads
Tech,Small,Medium,18-30,Male,Technology,Instagram
Tech,Medium,Medium,25-40,Male,Technology,Google Ads
Education,Large,High,18-25,Female,Technology,Instagram
Tech,Large,Medium,25-40,Male,Fitness,Facebook
Tech,Small,High,18-30,Female,Technology,Instagram
Fitness,Medium,Low,25-35,Male,Technology,Google Ads
Fitness,Small,Medium,25-35,Male,Technology,Instagram
Tech,Large,Medium,18-25,Male,Fitness,YouTube
Fitness,Medium,High,25-40,Male,Education,Facebook
Fashion,Small,High,25-35,Male,Education,Google Ads
Tech,Small,Medium,25-35,Male,Technology,Google Ads
Fitness,Large,Medium,25-35,Female,Education,YouTube
Education,Small,Low,18-25,Male,Technology,YouTube
Education,Small,Medium,25-35,Male,Technology,Facebook
Fashion,Large,High,18-25,Male,Technology,YouTube
Fitness,Large,High,18-30,Male,Technology,Facebook
Tech,Medium,Low,25-35,Male,Fashion,YouTube
Fashion,Medium,Low,18-25,Female,Fashion,Facebook
Education,Large,Medium,18-25,Male,Fitness,YouTube
Education,Small,Low,25-35,Male,Education,Instagram
Education,Large,High,18-25,Male,Education,YouTube
Education,Medium,High,25-40,Male,Fitness,Facebook
Fitness,Medium,Medium,25-35,Male,Fitness,Google Ads
Fitness,Large,High,25-40,Female,Fashion,Instagram
Fitness,Medium,Medium,18-30,Male,Education,YouTube
Education,Large,High,18-30,Male,Technology,YouTube
Education,Large,Low,18-25,Male,Fitness,Google Ads
Education,Large,Medium,25-40,Female,Technology,YouTube
Tech,Medium,Medium,18-25,Male,Fitness,Google Ads
Tech,Medium,Medium,18-30,Female,Fitness,YouTube
Fashion,Medium,Low,25-40,Male,Technology,Facebook
Fitness,Large,Low,18-30,Female,Fashion,Google Ads
Fashion,Medium,High,25-35,Female,Technology,Facebook
Education,Small,Medium,18-30,Male,Fashion,Instagram
Fitness,Medium,High,18-30,Male,Fitness,Google Ads
Fashion,Large,High,18-30,Male,Fitness,Instagram
Education,Large,Low,25-40,Male,Education,Facebook
Fashion,Medium,Low,18-25,Female,Technology,Google Ads
Tech,Medium,Low,18-30,Female,Education,Facebook
Fashion,Small,Medium,25-40,Female,Education,Facebook
Education,Small,Medium,25-35,Male,Technology,YouTube
Fitness,Small,High,18-30,Female,Technology,Facebook
Fashion,Medium,High,25-35,Female,Technology,YouTube
Tech,Small,Medium,25-35,Female,Fashion,YouTube
Tech,Small,Medium,25-40,Female,Technology,YouTube
Education,Large,Low,18-30,Male,Technology,YouTube
Fashion,Large,High,18-30,Female,Technology,YouTube
Fitness,Medium,Low,25-40,Female,Technology,Facebook
Tech,Medium,High,18-25,Male,Technology,Instagram
Fitness,Small,Low,25-40,Male,Education,Google Ads
Fitness,Large,Medium,18-30,Female,Education,YouTube
Tech,Small,Low,25-35,Female,Education,Facebook
Fitness,Small,Medium,18-25,Male,Education,YouTube
Tech,Large,High,25-40,Female,Technology,YouTube
Fashion,Medium,Medium,18-30,Male,Fashion,Instagram
Tech,Large,High,18-25,Female,Fitness,YouTube
Education,Small,Low,25-35,Female,Fashion,Google Ads
Fitness,Small,High,25-40,Male,Education,Facebook
Fashion,Large,Medium,25-40,Male,Fitness,Facebook
Tech,Small,Medium,25-35,Female,Technology,YouTube
Fashion,Small,Medium,25-35,Female,Fitness,YouTube
Tech,Large,Low,18-25,Female,Fashion,YouTube
Fashion,Medium,Medium,18-30,Male,Fashion,Instagram
Tech,Large,High,18-30,Male,Education,YouTube
Fashion,Medium,Medium,25-40,Male,Education,YouTube
Tech,Small,High,18-25,Female,Technology,Instagram
Fashion,Large,Low,18-30,Female,Education,Instagram
Education,Medium,High,18-30,Female,Technology,Google Ads
